,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
revenuePerShare,14.529041287613715,12.960111966410077,8.181245626312107,8.17772692601068,7.516320474777448,6.436146377893951,5.6442598187311175,4.843346007604563,4.646201074443591,4.228793774319066,3.8453689167974883,3.863080684596577,3.452560873215785,3.711937716262976,4.486062717770035,4.1341059602649,3.3506998444790046,3.4128440366972477,3.1288160833953835,3.0454545454545454,3.044918998527246,3.1704297159504735,4.257400695731235,3.2467609962341424,2.297235123635277,1.9457405185566072,1.5761220364154103,1.2209742900168647,0.6186713993924573,0.7378929480479366,0.6461206896551724,0.5752525252525252,0.45576470588235296,0.36603174603174604,0,0
netIncomePerShare,5.026592022393282,4.097270818754374,2.3086074177746676,2.8253241800152553,2.601632047477745,1.7580283793876026,1.4267371601208458,1.1003802281368822,1.0138142747505756,0.8334630350194553,0.728414442700157,0.7041564792176039,0.3811922753988245,0.6807958477508651,1.0557491289198606,1.9925496688741722,0.9541213063763608,0.5542813455657493,0.21295606850335072,0.35171385991058124,0.08026509572901326,0.14493809176984704,0.5282621504700857,0.48469315318451794,0.2925906149356385,0.2287861763380246,0.19909089206003722,0.14841901715396216,0.07862694001296211,0.08999999998470688,0.07,0.05,0.01976470588235294,0.02,0.006420853527304518,0.01
operatingCashFlowPerShare,1.4394681595521344,1.4821553533939817,4.794961511546536,7.112890922959573,9.240356083086054,0.9432412247946228,2.010574018126888,0.9475285171102662,1.8019953952417498,1.288715953307393,0.9937205651491365,2.0081499592502037,-0.007556675062972292,1.2430795847750864,0.0017421602787456446,1.445364238410596,1.3685847589424571,0.5160550458715596,0.5107967237527923,0.005216095380029807,0.12444771723122239,-0.42534595775673706,1.2059336502791973,0.9720200609796498,0.6028961853236212,0.2269240616952438,0.30459714324155396,0.2126536671041416,0.11965474463169919,0.1007816482411586,0.10405172413793104,0.10828282828282829,0.06035294117647059,0.08793650793650794,0.029501218909236977,0.06463414634146342
freeCashFlowPerShare,0.7599720083974808,0.841147655703289,4.353393981805459,6.572845156369183,8.817507418397627,0.6445108289768484,1.7492447129909365,0.7452471482889734,1.4950115118956255,1.0949416342412452,0.8775510204081632,1.8614506927465362,-0.11586901763224182,1.1219723183391004,-0.16202090592334495,1.3062913907284768,1.322706065318818,0.4243119266055046,0.3663440059568131,-0.10879284649776454,0.0066273932253313695,-0.6445739257101238,0.6876602230488741,0.7390973876034932,0.44715570018571316,0.10893370660267764,0.1685204770687826,0.07025396119049078,0.10134913775506721,0.04182667798779496,0.057931034482758624,0.08060606060606061,0.03764705882352941,0.052486772486772484,0.023427438545570542,0.04878048780487805
cashPerShare,131.60671798460461,81.8222533240028,264.3442967109867,69.23493516399695,70.11572700296736,47.955190440627334,66.61102719033232,59.02965779467681,50.76438986953185,46.18365758754864,46.142857142857146,7.0733496332518335,23.24097397145256,23.02249134948097,4.7404181184668985,5.599337748344371,3.504665629860031,1.7813455657492354,2.0685033507073713,2.110283159463487,2.2930780559646537,3.2097596504005828,2.4291414141042624,1.7111997534147245,0.9704605216760531,0.6749319164333734,0.5392825574919657,0.3691557593522361,0.22117822149987718,0.21395072213866598,0.1761206896551724,0.15202020202020203,0.1063529411764706,0.10941798941798941,0.07028231563671163,0.16707317073170733
bookValuePerShare,25.617914625612315,39.370888733379985,39.230230930720786,16.586575133485887,15.333827893175075,13.83495145631068,12.402567975830816,10.191634980988594,9.058326937835764,8.078599221789883,7.52668759811617,6.286878565607172,5.227539882451722,4.38840830449827,3.5374564459930316,3.089403973509934,3.894245723172628,3.4021406727828745,3.2658227848101267,3.3241430700447094,2.9536082474226806,3.0320466132556447,3.111379523669059,1.8715295653358386,1.1994116283990046,0.9692306715674138,0.7277291546386134,0.5442317262847198,0.271387886075782,0.289957519067127,0.22310344827586207,0.2018181818181818,0.18129411764705883,0.18169312169312168,0.13796158254613763,0.18292682926829268
tangibleBookValuePerShare,11.104268719384185,24.443666899930022,23.874737578726382,15.55301296720061,14.310830860534125,12.837938760268857,11.367069486404834,9.120912547528517,7.9424405218726015,6.916731517509728,6.312401883830455,5.074979625101874,4.697732997481109,3.9316608996539792,3.5374564459930316,3.089403973509934,3.894245723172628,3.4021406727828745,3.2658227848101267,3.3241430700447094,2.9536082474226806,3.0320466132556447,3.111379523669059,1.8715295653358386,1.1994116283990046,0.9692306715674138,0.7277291546386134,0.5442317262847198,0.271387886075782,0.289957519067127,0.22310344827586207,0.2018181818181818,0.18129411764705883,0.18169312169312168,0.046854877091141084,0.03414634146341464
shareholdersEquityPerShare,25.617914625612315,39.370888733379985,39.230230930720786,16.586575133485887,15.333827893175075,13.83495145631068,12.402567975830816,10.191634980988594,9.058326937835764,8.078599221789883,7.52668759811617,6.286878565607172,5.227539882451722,4.38840830449827,3.5374564459930316,3.089403973509934,3.894245723172628,3.4021406727828745,3.2658227848101267,3.3241430700447094,2.9536082474226806,3.0320466132556447,3.111379523669059,1.8715295653358386,1.1994116283990046,0.9692306715674138,0.7277291546386134,0.5442317262847198,0.271387886075782,0.289957519067127,0.22310344827586207,0.2018181818181818,0.18129411764705883,0.18169312169312168,0.13796158254613763,0.18292682926829268
interestDebtPerShare,27.587823652904127,16.966410076976906,9.832050384884534,6.479023646071701,5.699554896142433,15.007468259895445,2.25,2.24106463878327,1.471987720644666,1.4933852140077821,1.3241758241758241,1.7734311328443357,2.0184718723761543,1.4662629757785468,0.980836236933798,1.259933774834437,0.8297045101088647,1.4319571865443426,1.135517498138496,1.4970193740685545,1.1008836524300443,1.6285506190823016,1.8103400461810182,1.0069173095702824,0.8420061053628459,0.7681222901470859,0.7960229508029204,0.5187786387542606,0.2830104936165007,0.3372897195688548,0.26827586206896553,0.3481818181818182,0.4284705882352941,0.3574603174603175,0.1622567040008034,0.2890243902439024
